Category: All categories

Week,Horizon Forbidden West: (Worldwide)
2021-12-26,4
2022-01-02,6
2022-01-09,8
2022-01-16,9
2022-01-23,13
2022-01-30,13
2022-02-06,18
2022-02-13,94
2022-02-20,100
2022-02-27,64
2022-03-06,53
2022-03-13,40
2022-03-20,31
2022-03-27,27
2022-04-03,24
2022-04-10,23
2022-04-17,19
2022-04-24,17
2022-05-01,16
2022-05-08,14
2022-05-15,13
2022-05-22,13
2022-05-29,15
2022-06-05,14
2022-06-12,13
2022-06-19,13
2022-06-26,12
2022-07-03,13
2022-07-10,12
2022-07-17,13
2022-07-24,12
2022-07-31,13
2022-08-07,12
2022-08-14,13
2022-08-21,12
2022-08-28,12
2022-09-04,11
2022-09-11,11
2022-09-18,11
2022-09-25,10
2022-10-02,10
2022-10-09,10
2022-10-16,9
2022-10-23,9
2022-10-30,9
2022-11-06,9
2022-11-13,10
2022-11-20,11
2022-11-27,10
2022-12-04,11
2022-12-11,11
2022-12-18,12
2022-12-25,17
2023-01-01,14
2023-01-08,13
2023-01-15,11
2023-01-22,11
2023-01-29,10
2023-02-05,9
2023-02-12,10
2023-02-19,13
2023-02-26,13
2023-03-05,12
2023-03-12,12
2023-03-19,12
2023-03-26,11
2023-04-02,12
2023-04-09,12
2023-04-16,18
2023-04-23,15
2023-04-30,11
2023-05-07,9
2023-05-14,8
2023-05-21,7
2023-05-28,7
2023-06-04,7
2023-06-11,7
2023-06-18,7
2023-06-25,7
2023-07-02,6
2023-07-09,6
2023-07-16,6
2023-07-23,6
2023-07-30,6
2023-08-06,6
2023-08-13,5
2023-08-20,5
2023-08-27,6
2023-09-03,5
2023-09-10,5
2023-09-17,5
2023-09-24,6
2023-10-01,5
2023-10-08,5
2023-10-15,4
2023-10-22,4
2023-10-29,4
2023-11-05,4
2023-11-12,5
2023-11-19,7
2023-11-26,6
2023-12-03,6
2023-12-10,5
2023-12-17,6
2023-12-24,8
2023-12-31,8
2024-01-07,7
2024-01-14,6
2024-01-21,7
2024-01-28,6
2024-02-04,5
2024-02-11,5
2024-02-18,5
2024-02-25,5
2024-03-03,6
2024-03-10,6
2024-03-17,22
2024-03-24,31
2024-03-31,22
2024-04-07,17
2024-04-14,14
2024-04-21,12
2024-04-28,11
2024-05-05,9
2024-05-12,8
2024-05-19,8
2024-05-26,8
2024-06-02,7
2024-06-09,7
2024-06-16,6
2024-06-23,7
2024-06-30,7
