Category: All categories

Week,Trek to Yomi: (Worldwide)
2021-12-26,2
2022-01-02,1
2022-01-09,<1
2022-01-16,1
2022-01-23,1
2022-01-30,1
2022-02-06,1
2022-02-13,1
2022-02-20,<1
2022-02-27,1
2022-03-06,7
2022-03-13,5
2022-03-20,3
2022-03-27,2
2022-04-03,13
2022-04-10,10
2022-04-17,9
2022-04-24,11
2022-05-01,100
2022-05-08,57
2022-05-15,27
2022-05-22,17
2022-05-29,12
2022-06-05,11
2022-06-12,8
2022-06-19,8
2022-06-26,7
2022-07-03,5
2022-07-10,4
2022-07-17,5
2022-07-24,5
2022-07-31,5
2022-08-07,5
2022-08-14,5
2022-08-21,4
2022-08-28,4
2022-09-04,3
2022-09-11,3
2022-09-18,3
2022-09-25,3
2022-10-02,3
2022-10-09,3
2022-10-16,3
2022-10-23,3
2022-10-30,3
2022-11-06,4
2022-11-13,3
2022-11-20,3
2022-11-27,3
2022-12-04,3
2022-12-11,3
2022-12-18,3
2022-12-25,4
2023-01-01,4
2023-01-08,3
2023-01-15,2
2023-01-22,4
2023-01-29,7
2023-02-05,5
2023-02-12,3
2023-02-19,3
2023-02-26,2
2023-03-05,3
2023-03-12,2
2023-03-19,3
2023-03-26,2
2023-04-02,3
2023-04-09,2
2023-04-16,2
2023-04-23,3
2023-04-30,4
2023-05-07,3
2023-05-14,2
2023-05-21,3
2023-05-28,35
2023-06-04,42
2023-06-11,24
2023-06-18,18
2023-06-25,13
2023-07-02,9
2023-07-09,6
2023-07-16,5
2023-07-23,6
2023-07-30,6
2023-08-06,4
2023-08-13,5
2023-08-20,4
2023-08-27,5
2023-09-03,4
2023-09-10,3
2023-09-17,3
2023-09-24,3
2023-10-01,5
2023-10-08,5
2023-10-15,3
2023-10-22,3
2023-10-29,2
2023-11-05,2
2023-11-12,3
2023-11-19,3
2023-11-26,3
2023-12-03,2
2023-12-10,3
2023-12-17,3
2023-12-24,4
2023-12-31,4
2024-01-07,2
2024-01-14,3
2024-01-21,3
2024-01-28,3
2024-02-04,2
2024-02-11,2
2024-02-18,2
2024-02-25,2
2024-03-03,3
2024-03-10,1
2024-03-17,2
2024-03-24,3
2024-03-31,2
2024-04-07,2
2024-04-14,2
2024-04-21,2
2024-04-28,2
2024-05-05,2
2024-05-12,2
2024-05-19,2
2024-05-26,2
2024-06-02,2
2024-06-09,2
2024-06-16,2
2024-06-23,2
2024-06-30,2
