Category: All categories

Week,Dead Island 2: (Worldwide)
2023-01-01,2
2023-01-08,3
2023-01-15,2
2023-01-22,2
2023-01-29,3
2023-02-05,3
2023-02-12,3
2023-02-19,3
2023-02-26,6
2023-03-05,6
2023-03-12,6
2023-03-19,5
2023-03-26,5
2023-04-02,7
2023-04-09,12
2023-04-16,89
2023-04-23,100
2023-04-30,50
2023-05-07,28
2023-05-14,18
2023-05-21,14
2023-05-28,12
2023-06-04,10
2023-06-11,9
2023-06-18,7
2023-06-25,7
2023-07-02,6
2023-07-09,6
2023-07-16,14
2023-07-23,10
2023-07-30,8
2023-08-06,6
2023-08-13,5
2023-08-20,5
2023-08-27,6
2023-09-03,5
2023-09-10,4
2023-09-17,4
2023-09-24,4
2023-10-01,4
2023-10-08,4
2023-10-15,4
2023-10-22,5
2023-10-29,6
2023-11-05,5
2023-11-12,5
2023-11-19,6
2023-11-26,5
2023-12-03,5
2023-12-10,4
2023-12-17,5
2023-12-24,7
2023-12-31,6
2024-01-07,5
