Category: All categories

Week,Cuphead: The Delicious Last Course: (Worldwide)
2021-12-26,1
2022-01-02,1
2022-01-09,1
2022-01-16,2
2022-01-23,2
2022-01-30,1
2022-02-06,2
2022-02-13,2
2022-02-20,3
2022-02-27,3
2022-03-06,3
2022-03-13,2
2022-03-20,2
2022-03-27,1
2022-04-03,1
2022-04-10,1
2022-04-17,1
2022-04-24,1
2022-05-01,1
2022-05-08,1
2022-05-15,1
2022-05-22,1
2022-05-29,1
2022-06-05,6
2022-06-12,12
2022-06-19,9
2022-06-26,88
2022-07-03,100
2022-07-10,51
2022-07-17,35
2022-07-24,24
2022-07-31,18
2022-08-07,13
2022-08-14,10
2022-08-21,10
2022-08-28,10
2022-09-04,8
2022-09-11,6
2022-09-18,5
2022-09-25,6
2022-10-02,7
2022-10-09,5
2022-10-16,4
2022-10-23,4
2022-10-30,4
2022-11-06,3
2022-11-13,3
2022-11-20,3
2022-11-27,3
2022-12-04,4
2022-12-11,3
2022-12-18,3
2022-12-25,3
2023-01-01,3
2023-01-08,4
2023-01-15,4
2023-01-22,4
2023-01-29,4
2023-02-05,3
2023-02-12,3
2023-02-19,3
2023-02-26,3
2023-03-05,2
2023-03-12,3
2023-03-19,3
2023-03-26,3
2023-04-02,2
2023-04-09,2
2023-04-16,3
2023-04-23,2
2023-04-30,2
2023-05-07,2
2023-05-14,2
2023-05-21,2
2023-05-28,3
2023-06-04,2
2023-06-11,2
2023-06-18,3
2023-06-25,2
2023-07-02,3
2023-07-09,2
2023-07-16,2
2023-07-23,3
2023-07-30,2
2023-08-06,2
2023-08-13,2
2023-08-20,2
2023-08-27,2
2023-09-03,2
2023-09-10,2
2023-09-17,2
2023-09-24,2
2023-10-01,2
2023-10-08,2
2023-10-15,2
2023-10-22,2
2023-10-29,2
2023-11-05,1
2023-11-12,1
2023-11-19,2
2023-11-26,2
2023-12-03,2
2023-12-10,2
2023-12-17,2
2023-12-24,2
2023-12-31,2
2024-01-07,2
2024-01-14,2
2024-01-21,2
2024-01-28,1
2024-02-04,2
2024-02-11,1
2024-02-18,1
2024-02-25,1
2024-03-03,1
2024-03-10,<1
2024-03-17,1
2024-03-24,1
2024-03-31,<1
2024-04-07,1
2024-04-14,1
2024-04-21,1
2024-04-28,2
2024-05-05,1
2024-05-12,1
2024-05-19,1
2024-05-26,1
2024-06-02,1
2024-06-09,2
2024-06-16,2
2024-06-23,2
2024-06-30,2
