Category: All categories

Week,God of War Ragnarök: (Worldwide)
2021-12-26,1
2022-01-02,2
2022-01-09,2
2022-01-16,3
2022-01-23,3
2022-01-30,3
2022-02-06,2
2022-02-13,2
2022-02-20,1
2022-02-27,1
2022-03-06,1
2022-03-13,1
2022-03-20,1
2022-03-27,1
2022-04-03,1
2022-04-10,1
2022-04-17,1
2022-04-24,1
2022-05-01,1
2022-05-08,1
2022-05-15,2
2022-05-22,1
2022-05-29,2
2022-06-05,2
2022-06-12,2
2022-06-19,2
2022-06-26,2
2022-07-03,9
2022-07-10,5
2022-07-17,4
2022-07-24,3
2022-07-31,3
2022-08-07,3
2022-08-14,3
2022-08-21,2
2022-08-28,4
2022-09-04,4
2022-09-11,19
2022-09-18,8
2022-09-25,5
2022-10-02,5
2022-10-09,5
2022-10-16,8
2022-10-23,13
2022-10-30,34
2022-11-06,100
2022-11-13,88
2022-11-20,55
2022-11-27,38
2022-12-04,31
2022-12-11,22
2022-12-18,19
2022-12-25,21
2023-01-01,18
2023-01-08,15
2023-01-15,13
2023-01-22,11
2023-01-29,10
2023-02-05,9
2023-02-12,8
2023-02-19,8
2023-02-26,6
2023-03-05,6
2023-03-12,6
2023-03-19,6
2023-03-26,5
2023-04-02,7
2023-04-09,7
2023-04-16,6
2023-04-23,6
2023-04-30,6
2023-05-07,5
2023-05-14,4
2023-05-21,5
2023-05-28,4
2023-06-04,4
2023-06-11,4
2023-06-18,4
2023-06-25,4
2023-07-02,4
2023-07-09,4
2023-07-16,4
2023-07-23,4
2023-07-30,4
2023-08-06,4
2023-08-13,4
2023-08-20,4
2023-08-27,4
2023-09-03,4
2023-09-10,4
2023-09-17,3
2023-09-24,3
2023-10-01,4
2023-10-08,4
2023-10-15,3
2023-10-22,4
2023-10-29,4
2023-11-05,3
2023-11-12,4
2023-11-19,5
2023-11-26,4
2023-12-03,7
2023-12-10,22
2023-12-17,13
2023-12-24,10
2023-12-31,9
2024-01-07,8
2024-01-14,6
2024-01-21,5
2024-01-28,5
2024-02-04,4
2024-02-11,4
2024-02-18,3
2024-02-25,3
2024-03-03,3
2024-03-10,3
2024-03-17,3
2024-03-24,3
2024-03-31,3
2024-04-07,3
2024-04-14,3
2024-04-21,3
2024-04-28,3
2024-05-05,3
2024-05-12,3
2024-05-19,3
2024-05-26,3
2024-06-02,3
2024-06-09,3
2024-06-16,3
2024-06-23,3
2024-06-30,3
